Sr No.,Company Name,Estab_year,Employees_count,Location,Designation,Involvement,Skills,HR_Name,Experience,linkedIN,Industry,LinkedIn Emp Count,LinkedIn Followers
768,MagickWoods,1993,More than 1000,Chennai,Business Analyst,Full Time,Business Development,Abinaya Vasudevan,2-5 Years,https://www.linkedin.com/company/magickwoods-limited/about/,Manufacturing,184 employees,"3,650 followers"
769,Toddle,2019,50 - 200,Work From Home,Fullstack Engineer (2Nd Shift),Full Time,"JavaScript,Node.js,React.js",Shobha Nanj,1-3 Years,https://www.linkedin.com/company/toddle/about/,Education Administration Programs,346 employees,"27,741 followers"
770,Viacom18,2007,More than 1000,Bangalore,Web Developer (Frontend),Full Time,"React.js,JavaScript",Udeshna Boruah Kalita,3-8 Years,https://www.linkedin.com/company/viacom-18-media-private-limited/?originalSubdomain=in,Broadcast Media Production and Distribution,"2,637 employees","408,449 followers"
771,Continual Engine,2017,50 - 200,Work From Home,ML Engineer,Full Time,"Machine Learning,Computer Vision,Python,Image Processing",Aditi Kumari,2-5 Years,https://www.linkedin.com/company/continual-engine/about/,IT Services and IT Consulting,71 employees,"9,544 followers"
772,Financial Software And Systems,1991,More than 1000,Bangalore,Switch Support Application,Full Time,"Level Switch,Java,SQL,Visa Processing,Jira",Bhanu Priya L,3-8 Years,https://www.linkedin.com/company/financial-software-&-systems-p-ltd/about/?viewAsMember=true,Financial Services,"2,785 employees","41,654 followers"
773,ideaForge,2007,,Work From Home,Perception System,Full Time,Image Processing,Akshay Siva Chandran Srinivasan,7-12 Years,http://www.linkedin.com/company/ideaforge,Aviation and Aerospace Component Manufacturing,379 employees,"30,822 followers"
774,Infogain,1990,More than 1000,Bangalore,Oracle ATG Developer,Full Time,"Oracle ATG Web Commerce,ATG Dynamo,Java",Himanshu Kumar Sinha,5-10 Years,https://www.linkedin.com/company/infogain/about/,IT Services and IT Consulting,"4,846 employees","245,902 followers"
775,Mercari,2013,500 - 1000,Bangalore,PHP Developer,Full Time,"PHP,Laravel,SQL,CodeIgniter,CakePHP",Riya Chaurasia,2-6 Years,https://www.linkedin.com/company/mercari-india/about/,"Technology, Information and Internet",36 employees,"6,805 followers"
776,Saadia Group,2021,More than 1000,Bangalore,Customer Service Executive,Full Time,"Customer Service,Customer Relationship,International BPO",Priyanka Patra,1-2 Years,https://www.linkedin.com/company/saadia-group/about/,Retail,169 employees,"28,046 followers"
777,Teradata,1980,More than 1000,"Mumbai, Pune",Tableau Developer,Full Time,"Power BI,SQL,Tableau",Neha Jaiswal,4-8 Years,-----,Not Available,Not Available,Not Available
