Sr No.,Company Name,Estab_year,Employees_count,Location,Designation,Involvement,Skills,HR_Name,Experience,linkedIN,Industry,LinkedIn Emp Count,LinkedIn Followers
526,Quince,2018,50 - 200,Bangalore,SDET 3,Full Time,"Automation Testing,Mobile Apps Testing,SDET,Appium,Java,Selenium",Ankita Singh,4-6 Years,https://www.linkedin.com/company/onequince/,Retail,197 employees,"14,271 followers"
527,Rattle,2020,Oct-50,Bangalore,Strategy & Ops Associate,Full Time,"Business Analysis,Business Intelligence,Data Analysis,Management Consulting",Durgeshwari Gupta,1-2 Years,https://www.linkedin.com/company/gorattle/about/,Software Development,96 employees,"10,129 followers"
528,Refactor Academy,2022,Oct-50,"Bangalore, Hyderabad, Pune",Principal Data Scientist,Full Time,"Machine Learning,Python,TensorFlow",Arjun Chakraborti,5-9 Years,https://www.linkedin.com/company/refactoracademy/,Higher Education,48 employees,"9,602 followers"
529,Reserve Bank Information Technology,2016,50 - 200,Navi Mumbai,Data Engineer,Full Time,"Python,ETL,Big Data,SQL,Spark",Vijeth Viji,3-6 Years,https://www.linkedin.com/company/reserve-bank-information-technology-pvt-ltd/about/,IT Services and IT Consulting,457 employees,"14,843 followers"
530,Sagarsoft,1996,200 - 500,"Bangalore, Hyderabad",Azure Cloudops Manager,Full Time,"Ansible,Azure,CI - CD,Chef,CircleCI,Jenkins,Puppet",Vaishali Bahl,6-10 Years,https://www.linkedin.com/company/sagarsoft-india-ltd/about/,Information Technology & Services,253 employees,"11,937 followers"
531,Agivant Technologies,2023,Oct-50,Pune,GCP Data Architect,Full Time,"Google Cloud,Cloud Computing,BigQuery,Kafka,Dataflow",Ritesh Singh,8-13 Years,https://www.linkedin.com/company/agivant-tech/about/,IT Services and IT Consulting,18 employees,842 followers
532,Corus Infotech,2016,Oct-50,Kochi,Web Developer,Full Time,".NET,Android,Java,JavaScript,PHP,Angular,C#,React.js,Wordpress",Mahesan M,1-3 Years,https://www.linkedin.com/company/corusinfotech/about/,IT Services and IT Consulting,21 employees,"1,198 followers"
533,CYK Hospitalities,2019,Oct-50,Gurgaon,Business Development Executive,Full Time,"Real Estate Broking,Leasing,Commercial Leasing,Sales,Corporate Sales",Sakshi Dhiman,0-3 Years,https://www.linkedin.com/company/cyk-hospitalities-pvt-ltd/,Food and Beverage Services,15 employees,824 followers
534,Diagnal Technologies,2015,50 - 200,Trivandrum,Engineering Manager,Full Time,"iOS,JavaScript,React.js",Shiju Shaji,3-6 Years,https://www.linkedin.com/company/diagnal/?originalSubdomain=in,"Technology, Information and Internet",97 employees,"17,043 followers"
535,Lakeba Group,2013,50 - 200,"Coimbatore, Work From Home",Software Enginner,Full Time,".NET,ASP.NET,C#",Swathi Hariraj,3-6 Years,https://www.linkedin.com/company/lakeba-group/about/,Information Technology & Services,175 employees,"5,049 followers"
536,Planview,1989,500 - 1000,Bangalore,Senior / Lead Data Engineer,Full Time,"Python,SQL,AWS,Airflow,Amazon Athena",Nisha M,5-10 Years,https://www.linkedin.com/company/planview/about/,Software Development,"1,636 employees","45,546 followers"
537,RupiCard,2022,0 - 10,Bangalore,Frontend Engineer,Full Time,"React.js,React Native",Arun Ks,1-4 Years,https://www.linkedin.com/company/rupicard/about/,Financial Services,7 employees,265 followers
538,Tata Tele Business Services,1996,More than 1000,Chennai,Product Sales Specialist,Full Time,"Sales,Business Development,Corporate Sales,VOIP,Value Added Services (VAS)",Poorti Punj,7-12 Years,https://www.linkedin.com/company/ttbs/about/,Telecommunications,"5,899 employees","114,377 followers"
539,TheHouseKraft,2017,Oct-50,Bangalore,3D Visualizer,Full Time,Interior Design,Kshithija Karkera,3-6 Years,https://www.linkedin.com/company/thehousekraft/,Architecture and Planning,1 employee,15 followers
540,Verdis.ai,2015,Oct-50,Gurgaon,Senior Supply Chain Analyst - Automobile,Full Time,"Microsoft Excel,Python,SQL,Tableau",Shaurya Rajour,5-6 Years,https://www.linkedin.com/company/verdis-ai/,Software Development,35 employees,"9,841 followers"
541,BetterPlace,2015,500 - 1000,Bangalore,SDE 2 - Python Developer,Full Time,"Python,Django,Microservices,Flask,Data Structures",Nikita Sah,2-5 Years,https://www.linkedin.com/company/betterplace-safety-solutions-pvt-ltd/,Software Development,"1,047 employees","77,277 followers"
542,CoreLogic,2010,More than 1000,Noida,Dot .NET Developer,Full Time,".NET,SQL Server,ASP.NET,C#,CSS",Deepali Nagpal,0-1 Years,https://www.linkedin.com/company/corelogic/about/,Information Services,"5,974 employees","121,310 followers"
543,FullThrottle Labs,2018,0 - 10,"Bangalore, Chennai, Hyderabad",HR & Admin Executive,Full Time,"Employee Engagement,Performance Management,Recruitment",Akanksha Pillay,1-2 Years,-----,Not Available,Not Available,Not Available
544,Illumine,2017,Oct-50,Bangalore,Software Technical Lead,Full Time,"React.js,Node.js,Project Management,Quality Assurance",Heena Budhwani,4-8 Years,https://www.linkedin.com/company/myillumine,Education Administration Programs,39 employees,"6,743 followers"
545,JiyoFullest,2017,0 - 10,Work From Home,Program Manager,Full Time,"Operations Management,Process Improvement",Rahul Rathore,3-5 Years,https://www.linkedin.com/company/jiyofullest/about/,Professional Training and Coaching,8 employees,"1,597 followers"
546,MagickWoods,1993,More than 1000,"Bangalore, Chennai",Head - Builder and Channel Sales,Full Time,"Business Development,Corporate Sales,Direct Sales,International Sales,Sales,Telecalling",Abinaya Vasudevan,10-14 Years,https://www.linkedin.com/company/magickwoods-limited/about/,Manufacturing,184 employees,"3,650 followers"
547,Neokred,2019,Oct-50,Bangalore,Regional Sales Manager,Full Time,"Corporate Sales,Sales",S V Vaishnavi,6-10 Years,https://www.linkedin.com/company/neokred/about/,Software Development,50 employees,"7,720 followers"
548,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"DevOps,AWS,Docker,CI - CD,Kubernetes",Shrishti Singh,3-5 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
549,NiYO Solutions,2015,200 - 500,Bangalore,SRE 3,Full Time,"Reliability Engineering,DevOps,AWS,Kubernetes,Docker",Shrishti Singh,7-11 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
550,Sourcy,2021,0 - 10,Work From Home,Data Analyst,Full Time,"Python,SQL,Business Intelligence,Data Analysis,Power BI",Stuti Ahuja,3-6 Years,https://www.linkedin.com/company/sourcy-global/,"Technology, Information and Internet",7 employees,690 followers
551,Chargeup,2019,Oct-50,Gurgaon,Talent Acquisition Specialist,Full Time,"Recruitment,Non IT Recruitment,Talent Management,Employee Benefits,Campus Recruitment",Vandana Hirey,1-3 Years,https://www.linkedin.com/company/chargeup-solutions-pvt-ltd/about/,"Transportation, Logistics, Supply Chain and Storage",48 employees,"19,508 followers"
552,Hitachi India,1930,More than 1000,Bangalore,Sr. Backend Engineer - Java,Full Time,"Java,AWS,Spring Boot,GraphQL,Kafka",Ayushi Jain,3-5 Years,https://linkedin.com/company/hitachi-india,Not Available,Not Available,Not Available
553,Leucine,2017,Oct-50,Bangalore,Senior React.js Developer,Full Time,"React.js,JavaScript,CSS,Redux,Git",Sougat Das,5-9 Years,https://www.linkedin.com/company/leucinetech/?originalSubdomain=in,Not Available,Not Available,Not Available
554,Miko,2015,50 - 200,Mumbai,Sr. Java Developer,Full Time,"Java,Spring,Docker,SQL",Priya Desai,3-6 Years,https://www.linkedin.com/company/mikorobot/about/,Consumer Electronics,342 employees,"61,135 followers"
555,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"DevOps,AWS,Deployment,CI - CD,Kubernetes",Vishali Vashnavi,3-5 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
556,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"Docker,AWS,Kubernetes,Jenkins,Ansible",Priyanka Mahindrakar,3-5 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
557,Ola,2011,More than 1000,Bangalore,Principal Architect,Full Time,"Java,Spring,Kafka,AWS,Hive",Ankit Sinha,11-15 Years,-----,Not Available,Not Available,Not Available
558,Ola,2011,More than 1000,Bangalore,Principal Architect,Full Time,"Java,AWS,Kafka,Data Structures,Algorithms",Nikita Rai,11-16 Years,-----,Not Available,Not Available,Not Available
559,Symphony Talent,2016,200 - 500,Bangalore,QA,Full Time,"Manual Testing,Automation Testing,Selenium",Khushi Tomar,2-4 Years,https://www.linkedin.com/company/symphony-talent/about/,Software Development,405 employees,"9,906 followers"
560,Symphony Talent,2016,200 - 500,Noida,QA,Full Time,"Manual Testing,Automation Testing,Selenium",Khushi Tomar,2-4 Years,https://www.linkedin.com/company/symphony-talent/about/,Software Development,405 employees,"9,906 followers"
561,Bullspree,2020,Oct-50,Ahmedabad,Senior Backend Engineer,Full Time,"Node.js,Laravel,MySQL,AWS,Docker",Mahalakshmi S,7-12 Years,https://www.linkedin.com/company/bullspree/,Capital Markets,23 employees,"2,055 followers"
562,Bullspree,2020,Oct-50,Ahmedabad,Senior Flutter Developer,Full Time,"Flutter,UX Design,UI Testing,Android,iOS",Mahalakshmi S,5-10 Years,https://www.linkedin.com/company/bullspree/,Capital Markets,23 employees,"2,055 followers"
563,Bullspree,2020,Oct-50,Ahmedabad,Technical Architect,Full Time,"Architecture,Laravel,Node.js,AWS,Android",Mahalakshmi S,8-13 Years,https://www.linkedin.com/company/bullspree/,Capital Markets,23 employees,"2,055 followers"
564,Edvak,2021,50 - 200,Hyderabad,Senior Data Scientist,Full Time,"Computer Vision,Machine Learning,NLP,Python,Keras,NLTK,PyTorch,Scikit-learn,spaCy,TensorFlow",Sai Divya Vemuri,2-6 Years,https://www.linkedin.com/company/edvak-inc/about/,"Technology, Information and Internet",31 employees,"1,235 followers"
565,JFrog,2008,500 - 1000,Bangalore,Cloud Production Engineer,Full Time,"CI - CD,Ansible,Azure,Google Cloud,Jenkins,New Relic",Shalini Jakhar,5-9 Years,https://www.linkedin.com/company/jfrog-ltd/about/,Software Development,"1,463 employees","46,811 followers"
566,Meta Z,2021,Oct-50,Work From Home,Trading Bot Developer,Full Time,"Node.js,Ethereum,Chatbots,Cryptocurrency",Aashiya,3-5 Years,https://www.linkedin.com/company/metaz-nft/about/,IT Services and IT Consulting,9 employees,178 followers
567,Rakuten,1997,More than 1000,Bangalore,Tech Lead,Full Time,"Java,Node.js,Spring",Arpita Ghosh,6-10 Years,https://www.linkedin.com/company/rakuten/?originalSubdomain=in,"Technology, Information and Internet","9,902 employees","250,766 followers"
568,TLC Relationship Management,2002,500 - 1000,Delhi,UI / UX Developer,Full Time,"UX Design,Graphic Design,Visual Design,3D Animation,2D Animation",Mrunal Kankal,5-8 Years,https://www.linkedin.com/company/tlc-relationship-management-p-ltd,Hospitality,460 employees,"21,372 followers"
569,Tredence Inc,2013,500 - 1000,Bangalore,Databricks COE Lead,Full Time,"COE,Databricks,PySpark,Python,Stakeholder Management",Bhoomika Gm,13-18 Years,https://www.linkedin.com/company/tredence/,Business Consulting and Services,"1,949 employees","192,179 followers"
570,Tredence Inc,2013,500 - 1000,Bangalore,GCP COE Lead,Full Time,"COE,Google Cloud,Big Data",Bhoomika Gm,14-19 Years,https://www.linkedin.com/company/tredence/,Business Consulting and Services,"1,949 employees","192,179 followers"
571,Beamer,2017,Oct-50,Coimbatore,Web Developer - Marketing,Full Time,"CSS,HTML,JavaScript",Sudhakar Mylsamy,2-6 Years,https://www.linkedin.com/company/getbeamer/about/,Software Development,13 employees,"2,276 followers"
572,Bullspree,2020,Oct-50,Ahmedabad,Node.js Developer,Full Time,"Node.js,Express.js,MongoDB,NoSQL",Mahalakshmi S,3-8 Years,https://www.linkedin.com/company/bullspree/,Capital Markets,23 employees,"2,055 followers"
573,MyGuider,2022,0 - 10,Bangalore,Business Development Executive,Full Time,"Business Development,Sales",Udhay D,0-1 Years,https://www.linkedin.com/company/myguideronline/about/,E-Learning Providers,1 employee,70 followers
574,MyGuider,2022,0 - 10,Bangalore,Business Development Manager,Full Time,SEO,Udhay D,2-3 Years,https://www.linkedin.com/company/myguideronline/about/,E-Learning Providers,1 employee,70 followers
575,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"DevOps,CI - CD,AWS,Docker,Kubernetes",Prakhar Mehrotra,3-5 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
576,NiYO Solutions,2015,200 - 500,Bangalore,Site Reliability Engineer,Full Time,"DevOps,AWS,CI - CD,Kubernetes,Docker",Prakhar Mehrotra,7-10 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
577,ShareChat,2015,500 - 1000,Bangalore,Lead Machine Learning Engineer,Full Time,"Computer Vision,Machine Learning,NLP,Python,Keras,PyTorch,TensorFlow",Naga Lakshmi Chapparapu,4-8 Years,https://www.linkedin.com/company/sharechat/about/,Internet Publishing,"2,286 employees","141,154 followers"
578,Symphony Talent,2016,200 - 500,Bangalore,Associate Fullstack Developer - Java,Full Time,"Java,Angular,Python,MySQL,AWS",Manjari Rastogi,1-3 Years,https://www.linkedin.com/company/symphony-talent/about/,Software Development,405 employees,"9,906 followers"
579,TLC Relationship Management,2002,500 - 1000,Delhi,UI Developer,Full Time,"CSS,HTML,JavaScript,UX Design,Git",Ameesha Srivastava,3-6 Years,https://www.linkedin.com/company/tlc-relationship-management-p-ltd,Hospitality,460 employees,"21,372 followers"
580,Wipro,1945,More than 1000,Hyderabad,Devop Architect,Full Time,"Terraform,Docker,Kubernetes",Sumithra Rai Shetty,12-17 Years,https://www.linkedin.com/company/wipro/about/,IT Services and IT Consulting,"289,791 employees","7,706,401 followers"
581,1Bstories,2021,Oct-50,Work From Home,QA Specialist,Full Time,"Performance Testing,Regression Testing,Manual Testing,Quality Assurance,SDET",Mansi Bhutani,2-5 Years,https://www.linkedin.com/company/1bstories/,IT Services and IT Consulting,29 employees,"1,490 followers"
582,1Bstories,2021,Oct-50,Work From Home,QA Specialist,Full Time,"Performance Testing,Regression Testing,Manual Testing,Automation Testing",Sparsh Maan,3-8 Years,https://www.linkedin.com/company/1bstories/,IT Services and IT Consulting,29 employees,"1,490 followers"
583,ACS Solutions,1998,More than 1000,Hyderabad,L2 Engineer,Full Time,"Selenium,Jasmine,Karma,JavaScript,TypeScript",Kamal Deep Sahni,4-9 Years,https://www.linkedin.com/company/acs-solutions/about/,Information Technology & Services,"2,021 employees","182,811 followers"
584,Axis Mutual Fund,2009,500 - 1000,"Bangalore, Mumbai",Relationship Manager,Full Time,"Corporate Sales,Debt Market,Direct Sales,Equity Advisory,Mutual Funds,NISM,Sales",Mansi Gosavi,2-4 Years,https://www.linkedin.com/company/axis-mutual-fund/,Financial Services,895 employees,"54,000 followers"
585,Beamer,2017,Oct-50,Coimbatore,Customer Success Manager,Full Time,"Customer Interaction,Customer Relationship,Customer Service,Key Account Management",Sudhakar Mylsamy,5-9 Years,https://www.linkedin.com/company/getbeamer/about/,Software Development,13 employees,"2,276 followers"
586,Beamer,2017,Oct-50,Coimbatore,Customer Support (Technical) Manager,Full Time,"HTML,JavaScript,Technical Support",Sudhakar Mylsamy,2-6 Years,https://www.linkedin.com/company/getbeamer/about/,Software Development,13 employees,"2,276 followers"
587,MyMoney,2022,0 - 10,Bangalore,Content Writer,Full Time,"Content Writing,SEO,Copy Writing,Copy Editing,Content Marketing",Geeti,2-4 Years,https://www.linkedin.com/company/getmymoneyapp/,Financial Services,1 employee,85 followers
588,MyMoney,2022,0 - 10,Bangalore,Graphic Designer,Full Time,"Graphic Design,Photoshop,Visual Design,Illustration",Geeti,2-4 Years,https://www.linkedin.com/company/getmymoneyapp/,Financial Services,1 employee,85 followers
589,Nykaa,2012,200 - 500,Gurgaon,Staff Engineer,Full Time,"Python,Data Structures,Algorithms,Engineering Management,Architecture",Kezia Vincent,8-11 Years,-----,Not Available,Not Available,Not Available
590,Paytm,2000,More than 1000,Work From Home,Product Designer,Full Time,"Wireframing,Figma,UX Design,Sketch",Geeti,5-9 Years,https://www.linkedin.com/company/paytm-mobile-solutions-pvt-ltd-,Financial Services,"20,934 employees","1,385,110 followers"
591,A Plus Topper,2017,0 - 10,Bangalore,Business IT Solution,Full Time,"UiPath,Angular,Agile,React.js,Vue.js",Swathi Madagoni,3-7 Years,https://www.linkedin.com/company/aplustopper/about/,E-Learning Providers,29 employees,"2,588 followers"
592,Accrete.AI,2017,Oct-50,Mumbai,Data Engineer,Full Time,"Hadoop,EMR,Amazon Redshift,AWS,Big Data",Tanya Gupta,4-9 Years,https://www.linkedin.com/company/accreteai/,Software Development,149 employees,"35,338 followers"
593,Brandlabs,2020,0 - 10,Pune,Search Engine Optimisation Executive,Full Time,SEO,Prateek Jadhav,0-1 Years,https://www.linkedin.com/company/brandlabs-technologies/about/,Advertising Services,17 employees,"2,213 followers"
594,LTIMindtree,1996,More than 1000,Bangalore,ORMB (Oracle Revenue and Billing Management),Full Time,"Oracle RMB,PL-SQL,Oracle BI,Oracle BRM,ROADM",Bhaskar Anand,10-15 Years,https://www.linkedin.com/company/ltimindtree/about/,IT Services and IT Consulting,"96,704 employees","3,311,333 followers"
595,Mercari,2013,500 - 1000,Bangalore,Software Engineer - Platform Engineering,Full Time,"CI - CD,AWS,Azure,Docker,Google Cloud,Kubernetes",Priyanka Sharma,2-5 Years,https://www.linkedin.com/company/mercari-india/about/,"Technology, Information and Internet",36 employees,"6,803 followers"
596,Microsoft Bing,2009,200 - 500,Mumbai,Assistant Manager,Full Time,"Facility Management,Hospitality,Office Operations,Event Management,Microsoft Office",Bhaskar Anand,6-10 Years,-----,Not Available,Not Available,Not Available
597,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"AWS,DevOps,Docker,Kubernetes,CI - CD",Rakhi Dahiya,3-6 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
598,NiYO Solutions,2015,200 - 500,Bangalore,Site Reliability Engineer,Full Time,"AWS,DevOps,CI - CD,Docker,Kubernetes",Rakhi Dahiya,7-11 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
599,TLC Relationship Management,2002,500 - 1000,Delhi,UI Designer,Full Time,"jQuery,Bootstrap,InDesign,Illustration,JavaScript",Ameesha Srivastava,4-6 Years,https://www.linkedin.com/company/tlc-relationship-management-p-ltd,Hospitality,460 employees,"21,372 followers"
600,Treflo,2019,Oct-50,Bangalore,Finance Head - Virtual Digital Asset,Full Time,"Accounting,Auditing,Finance,Taxation,Budgeting,Financial Analysis,Financial Planning,Financial Reporting,GST,Income Tax,Internal Audit,Payroll Management,TDS",Antara Chaudhury,3-6 Years,https://www.linkedin.com/company/treflo/about/,IT Services and IT Consulting,27 employees,"7,608 followers"
601,Ideapoke,2012,Oct-50,"Bangalore, Chennai, Hyderabad",Sr. React Developer,Full Time,"CSS,HTML,JavaScript,Ember.js,jQuery,React.js,Vue.js",Varsha S,3-6 Years,http://www.linkedin.com/company/ideapoke,IT Services and IT Consulting,100 employees,"20,567 followers"
602,LTIMindtree,1996,More than 1000,Bangalore,SAP OTC Vistex,Full Time,"Vistex,OTC,CPG",Bhaskar Anand,5-10 Years,https://www.linkedin.com/company/ltimindtree/about/,IT Services and IT Consulting,"96,704 employees","3,311,335 followers"
603,MakeMyTrip,2000,More than 1000,Bangalore,Sr. Principle / Principle Data Scientist,Full Time,"Computer Vision,Machine Learning,NLP,Python,R",Vishal Vikram Singh,8-11 Years,-----,Not Available,Not Available,Not Available
604,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"DevOps,Jenkins,AWS,Kubernetes,Terraform",Ramya Tanya,3-5 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
605,NiYO Solutions,2015,200 - 500,Bangalore,DevOps Engineer,Full Time,"AWS,DevOps",Shrishti Singh,3-6 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
606,NiYO Solutions,2015,200 - 500,Bangalore,SRE,Full Time,"DevOps,Docker,AWS,Kubernetes,Terraform",Ramya Tanya,7-10 Years,https://www.linkedin.com/company/niyo-solutions-inc/,Financial Services,532 employees,"49,787 followers"
607,Shiprocket,2012,500 - 1000,Gurgaon,Golang Developer,Full Time,"Golang,PHP,Laravel",Kailuni Lanah,2-3 Years,https://www.linkedin.com/company/shiprocket/,"Transportation, Logistics, Supply Chain and Storage",862 employees,"67,815 followers"
608,Surekha Technologies,2011,50 - 200,Ahmedabad,Sr. Laravel Developer,Full Time,Customer Interaction,Nisha Jinger,3-7 Years,https://www.linkedin.com/company/surekha-technologies/about/,IT Services and IT Consulting,153 employees,"11,211 followers"
609,Viacom18,2007,More than 1000,Bangalore,Release Engineer,Full Time,"Release Engineering,CI - CD,Azure,RHCE,RHCSA",Pallavi Deshpande,4-7 Years,https://www.linkedin.com/company/viacom-18-media-private-limited/?originalSubdomain=in,Broadcast Media Production and Distribution,"2,637 employees","408,447 followers"
610,VMware,1998,More than 1000,Bangalore,Staff Engineer / SMTS - C / C++,Full Time,"C,C++",Vijay Tippai Hehimhis,11-15 Years,-----,Not Available,Not Available,Not Available
611,1mg,2015,500 - 1000,Gurgaon,Business Analyst,Full Time,"Microsoft Excel,Python,R,SQL,Tableau",Jyoti Aeri,2-3 Years,https://www.linkedin.com/company/1mg/,"Technology, Information and Internet","4,150 employees","211,652 followers"
612,1mg,2015,500 - 1000,Gurgaon,Program Manager,Full Time,"Agile,Program Management,Scrum",Jyoti Aeri,3-5 Years,https://www.linkedin.com/company/1mg/,"Technology, Information and Internet","4,150 employees","211,652 followers"
613,AfterLife,2021,0 - 10,Mumbai,Tech Lead (Fullstack),Full Time,"Java,Golang,Angular,React.js,JavaScript",Shivam Bhardwaj,7-10 Years,https://www.linkedin.com/company/myafterlife/about/,"Technology, Information and Internet",5 employees,225 followers
614,Beyondsoft,1995,More than 1000,Bangalore,Backend Engineer,Full Time,"Java,Spring",Sabiha Pathan,5-6 Years,https://www.linkedin.com/company/beyondsoft/about/,IT Services and IT Consulting,"3,335 employees","71,901 followers"
615,Etelligens Technologies,2015,50 - 200,"Greater Noida, Noida",Sr. Java Developer,Full Time,"Java,Hibernate,J2EE,Spring,Struts",Riyanshi Goyal,5-6 Years,https://www.linkedin.com/company/etelligenstechnologies/,IT Services and IT Consulting,118 employees,"11,533 followers"
616,inFeedo,2016,50 - 200,Work From Home,Sr. Software Engineer - Backend,Full Time,"Java,Node.js,TypeScript",Richa Anchan,4-6 Years,https://www.linkedin.com/company/infeedo/,Software Development,168 employees,"33,964 followers"
617,NoBroker,2014,More than 1000,Bangalore,Team Leader,Full Time,Customer Service,Nawazullah A,4-6 Years,http://www.linkedin.com/company/nobroker-in,Real Estate,"3,557 employees","216,862 followers"
618,Regalo Kitchens,2008,200 - 500,Delhi,Business Development Executive,Full Time,"Business Development,Direct Sales,Sales",Shreya Mishra,0-4 Years,https://www.linkedin.com/company/regalo-kitchens-pvt.-ltd/about/,Furniture and Home Furnishings Manufacturing,217 employees,"23,841 followers"
619,Safegold,2017,Oct-50,Mumbai,Software Engineer (PHP / Laravel),Full Time,"PHP,Python,Laravel",Richa Gupta,4-6 Years,https://www.linkedin.com/company/safegold/about/,Not Available,Not Available,Not Available
620,SignDesk,2016,200 - 500,Bangalore,Technical Customer Support,Full Time,"IT Support,Technical Support",Latha Abhijith,1-5 Years,https://www.linkedin.com/company/signdesk/about/,Software Development,288 employees,"13,700 followers"
621,Ascendion,2022,More than 1000,Work From Home,Cyber Governance Risk Compliance Analyst,Full Time,ServiceNow,Mayur Pilavare,5-6 Years,https://www.linkedin.com/company/ascendion/,"Technology, Information and Internet","1,888 employees","207,979 followers"
622,Baazi Games,2014,200 - 500,Delhi,Frontend Engineering Manager - React.js,Full Time,"JavaScript,React.js,React Native,CI - CD,Vue.js",Vaibhav Singh,8-13 Years,https://www.linkedin.com/company/baazi-games/about/,Computer Games,338 employees,"30,826 followers"
623,Design Indya Advertising,2008,50 - 200,Noida,Social Media Manager,Full Time,Social Media Marketing,Cheshta Jain,4-6 Years,https://www.linkedin.com/company/design-indya/,Advertising Services,43 employees,604 followers
624,Entri.app,2015,50 - 200,Kochi,DSML Mentor,Full Time,"Machine Learning,Python",Nikhila Benny,3-6 Years,https://www.linkedin.com/company/entri-me/about/,E-learning,826 employees,"17,332 followers"
625,JioSaavn,2007,50 - 200,Navi Mumbai,Engineering Manager - Backend,Full Time,"Golang,Java,Node.js,Python",Darshan Bd,6-6 Years,https://www.linkedin.com/company/jio-saavn/,"Technology, Information and Internet",879 employees,"198,416 followers"
626,Lendingkart,2014,200 - 500,Bangalore,Senior Product Manager,Full Time,Product Management,Venkatesh G,5-9 Years,-----,Not Available,Not Available,Not Available
627,Sloovi,2013,50 - 200,Chennai,HR Recruiter,Full Time,"IT Recruitment,Recruitment",Fariha Tasnim,0-1 Years,https://www.linkedin.com/company/sloovi/about/,Software Development,14 employees,"6,323 followers"
628,Syfe,2018,50 - 200,Gurgaon,Director of Engineering,Full Time,"Java,JavaScript,Python,HTML,Algorithms",Suhail,12-15 Years,https://www.linkedin.com/company/syfe/about/,Financial Services,146 employees,"12,635 followers"
629,Text Mercato,2015,Oct-50,Bangalore,SDE 1 - SDE 2,Full Time,"JavaScript,React.js",Vaishnavi Praveen,1-5 Years,-----,Not Available,Not Available,Not Available
630,Urja Communications,1986,50 - 200,Mumbai,Graphics Designer,Full Time,"Graphic Design,Illustration,InDesign,Corel Draw,2D Animation",Nidhi Pithia,1-3 Years,https://www.linkedin.com/company/urja-communications/about/,Advertising Services,115 employees,"5,187 followers"
631,AfterLife,2021,0 - 10,Mumbai,Product Development Engineer - Fullstack,Full Time,"Java,JavaScript,Angular,Node.js,Golang",Shivam Bhardwaj,1-3 Years,https://www.linkedin.com/company/myafterlife/about/,"Technology, Information and Internet",5 employees,225 followers
632,Awign,2016,200 - 500,Pune,Vue.js Developer,Full Time,"CSS,HTML,JavaScript,Vue.js",Yogesh Dutt Sharma,4-8 Years,https://www.linkedin.com/company/awign-enterprises/?originalSubdomain=in,"Technology, Information and Internet",926 employees,"64,016 followers"
633,Entri.app,2015,50 - 200,Cochin,Freelance Python Trainer,Full Time,"Python,Django",Nikhila Benny,3-6 Years,https://www.linkedin.com/company/entri-me/about/,E-learning,826 employees,"17,332 followers"
634,Foundation AI,2018,Oct-50,Hyderabad,MLOps Engineer,Full Time,"Airflow,Amazon SageMaker,MLOps,Kubernetes,Virtualization",Mubasshara Khatri,2-6 Years,https://www.linkedin.com/company/foundation-ai/about/,Software Development,129 employees,"5,937 followers"
635,Happiest Minds Technologies,2011,More than 1000,Bangalore,Wordpress Architect,Full Time,MuleSoft,Nethra Mp,12-16 Years,https://www.linkedin.com/company/happiest-minds-technologies/,Information Technology & Services,"4,579 employees","152,589 followers"
636,Happiest Minds Technologies,2011,More than 1000,Bangalore,Wordpress Architect,Full Time,MuleSoft,Nethra Mp,12-16 Years,https://www.linkedin.com/company/happiest-minds-technologies/,Information Technology & Services,"4,579 employees","152,589 followers"
637,inai,2021,Oct-50,Bangalore,Site Reliability Engineer,Full Time,"AWS,Python,Terraform",Suji Santhanam,3-6 Years,https://www.linkedin.com/company/inai-co/about/,Financial Services,49 employees,"9,902 followers"
638,Lendingkart,2014,200 - 500,Bangalore,Engineering Manager,Full Time,"Java,Data Structures,Node.js,Product Lifecycle Management",Riya Prasad,9-14 Years,-----,Not Available,Not Available,Not Available
