,Job_id,company_id,Location,Designation,details_id
120,10619,4207,Pune,Sr. Market Research Analyst,385
121,12611,3900,Bangalore,Architect,753
122,13865,8931,Bangalore,Senior - Business Analyst - Regulatory Reporting,428
123,19271,1192,Bangalore,SDE 2,589
124,11914,1192,Bangalore,Staff Engineer / Principal Engineer,429
125,19937,5500,Bangalore,Network Engineer 2,128
126,11855,4639,Delhi,Creative Copywriter,773
127,11724,5286,Mumbai,Business Development Executive,139
128,15262,1831,Bangalore,Technical Content Writer,282
129,14986,6091,Work From Home,C# Developer,836
130,17544,7429,Hyderabad,Mobile QA Engineer,767
131,17206,1200,Bangalore,Java Developer,995
132,12527,9359,Hyderabad,Senior Accounts Executive,604
133,11444,5365,Mumbai,Corporate Relation Manager,277
134,14817,1192,Bangalore,SDE 2 - Node.js Developer,841
135,11480,4484,Hyderabad,Automation Lead,482
136,10749,9360,Work From Home,Sr. Backend Developer,430
137,10413,4782,Bangalore,Tech Lead,822
138,18770,4782,Bangalore,Tech Lead,447
139,19263,8497,Work From Home,Data Engineer,727
140,12211,4500,Pune,React.js Developer,780
141,13975,8831,Chennai,Engineering Manager,116
142,13197,2745,Bangalore,SQL Developer,931
143,11444,1575,Bangalore,Developer Support Engineer,671
144,10421,6271,Bangalore,Senior Software Engineer,457
145,14815,8931,Bangalore,SAP MM / WM Lead,260
146,18813,9913,Mumbai,SDET - Mobile,910
147,10033,8025,Bangalore,Content Writer,285
148,10053,9535,"Bangalore, Hyderabad",Senior Software Engineer,144
149,13743,8497,Work From Home,Scala and Spark Developer,678
150,15314,7961,Pune,Engineering Manager,566
151,18577,7631,Gurgaon,Risk Management,317
152,11967,5388,Bangalore,Backend Developer - 1,938
153,15842,5236,"Hyderabad, Kolkata, Surat",Relationship Manager,802
154,16686,1192,Bangalore,Principal Engineer,112
155,18041,1192,Bangalore,SDE - 3,151
156,11399,5896,Noida,Director,188
157,12890,3470,Noida,Sales Manager,394
158,15116,6569,Chennai,Linux BSP / Android BSP,804
159,14572,2402,Mumbai,.NET MVC Developer,222
160,15592,3942,Kolkata,Business Development Manager,227
161,11757,7216,Bangalore,Software Development Engineer 3,716
162,12370,7216,Bangalore,Software Development Engineer 3,883
163,16675,7216,Bangalore,Staff Software Engineer,716
164,15365,7216,Bangalore,Staff Software Engineer,883
165,15513,1134,Bangalore,DevOps Engineer,672
166,15492,1192,Bangalore,Principal Engineer,867
167,19493,1418,Navi Mumbai,Wordpress Developer,816
168,13382,5895,Mumbai,Product Manager - User Acquisition,211
169,13778,1733,Bangalore,Lead ML Engineer,441
170,19390,4309,Gurgaon,Frontend Developer,492
171,17737,8188,Bangalore,Associate Director Partnerships & Alliance,263
172,15242,8330,Bangalore,Middleware Engineer,427
173,13632,8947,Bangalore,.NET Fullstack,174
174,10860,2681,Bangalore,Regional Sales Manager,525
175,13279,2258,Bangalore,Inside Sales Manager,858
176,19446,5783,Noida,Customer Support Executive,608
177,17014,3044,Pune,Senior SDET,808
178,15221,9219,Bangalore,Marketing Head,381
179,11432,1831,Bangalore,Lead Software Engineer,680
180,14501,8743,Bangalore,Engineering Manager - Frontend,124
181,17484,8743,Bangalore,Research Manager,543
182,10378,8664,Work From Home,Azure Data Engineer,773
183,10651,5253,Bangalore,Sr. Tax Analyst,285
184,10715,8609,Bangalore,SDET,341
185,11625,1192,Bangalore,SDE3,165
186,19904,8522,Bangalore,ML Engineer,588
187,11984,1831,Bangalore,Lead Software Engineer,548
188,17949,3759,Bangalore,Architect,240
